namespace,key,zh-TW,zh-CN,en,ja,ko,th,vi,id,ms,tl,es,pt,fr,de,it,ru,ar,hi,bn,tr,pl,uk,nl,sv,no,da,fi,cs,el,he,fa,ur,sw,ro
conversation,messageTooLong,⚠️ 訊息太長，請縮短後再試。,⚠️ 讯息太长，请缩短后再试。,"⚠️ Message is too long, please shorten it and try again.",,,,,,,,,,,,,,⚠️ الرسالة طويلة جداً، يرجى تقصيرها والمحاولة مرة أخرى.,,,,,,,,,,,,,,,,,
conversation,notRegistered,"⚠️ 請先完成註冊流程。

使用 /start 繼續註冊。","⚠️ 请先完成注册流程。

使用 /start 继续注册。","⚠️ Please complete the registration process first.

Use /start to continue registration.",,,,,,,,,,,,,,"⚠️ يرجى إكمال عملية التسجيل أولاً.

استخدم /start للاستمرار في التسجيل.",,,,,,,,,,,,,,,,,
conversation,partnerNotFound,❌ 對方用戶不存在。,❌ 对方用户不存在。,❌ The other user does not exist.,,,,,,,,,,,,,,❌ المستخدم الآخر غير موجود.,,,,,,,,,,,,,,,,,
conversation,quotaExhausted,❌ 今日對話訊息配額已用完（{used}/{limit}）,❌ 今日对话讯息配额已用完（{used}/{limit}）,❌ You have exhausted today's message quota ({used}/{limit}),,,,,,,,,,,,,,❌ تم استنفاد حصة رسائل المحادثة لليوم ({used}/{limit}),,,,,,,,,,,,,,,,,
conversation,quotaUpgradeHint,💡 升級 VIP 可獲得更多配額（100 則/天）：/vip,💡 升级 VIP 可获得更多配额（100 则/天）：/vip,💡 Upgrade to VIP for more quota (100 messages/day): /vip,,,,,,,,,,,,,,💡 ترقية إلى VIP للحصول على حصة أكبر (100 رسالة/يوم): /vip,,,,,,,,,,,,,,,,,
conversation,quotaVipHint,💡 VIP 用戶每日可發送 100 則訊息。,💡 VIP 用户每日可发送 100 则讯息。,💡 VIP users can send 100 messages daily.,,,,,,,,,,,,,,💡 يمكن لمستخدمي VIP إرسال 100 رسالة يومياً.,,,,,,,,,,,,,,,,,
conversation,replyHint,💡 請長按你要回復的消息，在出現的選單中選擇「回覆」後，在聊天框中輸入回復內容。,💡 请长按你要回复的消息，在出现的选单中选择「回覆」后，在聊天框中输入回复内容。,"💡 Please long press the message you want to reply to, select 'Reply' from the menu that appears, then enter your reply in the chat box.",,,,,,,,,,,,,,💡 يرجى الضغط المطول على الرسالة التي ترغب في الرد عليها، اختيار 'رد' من القائمة، ثم إدخال ردك في صندوق الدردشة.,,,,,,,,,,,,,,,,,
conversation,senderInfoError,❌ 發送者資訊錯誤。,❌ 发送者资讯错误。,❌ Sender information is incorrect.,,,,,,,,,,,,,,❌ معلومات المرسل غير صحيحة.,,,,,,,,,,,,,,,,,
conversation,systemError,❌ 系統發生錯誤，請稍後再試。,❌ 系统发生错误，请稍后再试。,"❌ A system error has occurred, please try again later.",,,,,,,,,,,,,,❌ حدث خطأ في النظام، يرجى المحاولة مرة أخرى لاحقاً.,,,,,,,,,,,,,,,,,
conversation,urlBlocked,"🚫 禁止的網址：
{urls}","🚫 禁止的网址：
{urls}","🚫 Forbidden URLs:
{urls}",,,,,,,,,,,,,,"🚫 الروابط المحظورة:
{urls}",,,,,,,,,,,,,,,,,
conversation,urlBlockedHint,💡 請移除這些連結後重新發送。,💡 请移除这些连结后重新发送。,💡 Please remove these links and resend.,,,,,,,,,,,,,,💡 يرجى إزالة هذه الروابط وإعادة الإرسال.,,,,,,,,,,,,,,,,,
conversation,urlNotAllowed,⚠️ **訊息包含不允許的連結**,⚠️ **讯息包含不允许的连结**,⚠️ **Message contains disallowed links**,,,,,,,,,,,,,,⚠️ **الرسالة تحتوي على روابط محظورة**,,,,,,,,,,,,,,,,,
conversation,urlWhitelist,"為了安全，只允許以下網域的連結：
• t.me (Telegram)
• telegram.org
• telegram.me","为了安全，只允许以下网域的连结：
• t.me (Telegram)
• telegram.org
• telegram.me","For security, only links from the following domains are allowed:
• t.me (Telegram)
• telegram.org
• telegram.me",,,,,,,,,,,,,,"لأسباب أمنية، يُسمح فقط بالمجالات التالية:
• t.me (تيليجرام)
• telegram.org
• telegram.me",,,,,,,,,,,,,,,,,
conversation,userNotFound,⚠️ 用戶不存在，請先使用 /start 註冊。,⚠️ 用户不存在，请先使用 /start 注册。,"⚠️ User does not exist, please register first using /start.",,,,,,,,,,,,,,⚠️ المستخدم غير موجود، يرجى التسجيل باستخدام /start أولاً.,,,,,,,,,,,,,,,,,
conversationActions,ageRange,🎂 年齡範圍：{range} 歲,🎂 年龄范围：{range} 岁,🎂 Age range: {range} years old,,,,,,,,,,,,,,🎂 نطاق العمر: {range} سنة,,,,,,,,,,,,,,,,,
conversationActions,anonymousNote,💡 這是匿名資料卡，不會顯示對方的真實身份資訊。,💡 这是匿名资料卡，不会显示对方的真实身份资讯。,"💡 This is an anonymous data card, the other party's real identity will not be displayed.",,,,,,,,,,,,,,💡 هذه بطاقة بيانات مجهولة، لن تُعرض المعلومات الحقيقية للجهة الأخرى.,,,,,,,,,,,,,,,,,
conversationActions,bio,💬 自我介紹：{bio},💬 自我介绍：{bio},💬 Self-introduction: {bio},,,,,,,,,,,,,,💬 التعريف عن النفس: {bio},,,,,,,,,,,,,,,,,
conversationActions,blockConfirmDesc,"封鎖後：
• 對方無法再向你發送訊息
• 你們不會再被匹配到
• 此對話將立即結束","封锁后：
• 对方无法再向你发送讯息
• 你们不会再被匹配到
• 此对话将立即结束","After blocking:
• The other party can no longer message you
• You will not be matched again
• This conversation will end immediately",,,,,,,,,,,,,,"بعد الحظر:
• لن تتمكن الجهة الأخرى من إرسال رسائل لك
• لن تتلقى تطابقات جديدة
• ستنتهي هذه المحادثة فوراً",,,,,,,,,,,,,,,,,
conversationActions,blockConfirmNote,💡 這不會舉報對方，只是不想再聊天。,💡 这不会举报对方，只是不想再聊天。,"💡 This will not report the other party, just means you don't want to chat anymore.",,,,,,,,,,,,,,💡 هذا لن يُبلغ عن الجهة الأخرى، فقط يعني أنك لم تعد ترغب في الدردشة.,,,,,,,,,,,,,,,,,
conversationActions,blockConfirmTitle,🚫 **確定要封鎖這位用戶嗎？**,🚫 **确定要封锁这位用户吗？ **,🚫 **Are you sure you want to block this user?**,,,,,,,,,,,,,,🚫 **هل أنت متأكد أنك تريد حظر هذا المستخدم؟**,,,,,,,,,,,,,,,,,
conversationActions,blockedSuccess,✅ **已封鎖此用戶**,✅ **已封锁此用户**,✅ **User has been blocked**,,,,,,,,,,,,,,✅ **تم حظر المستخدم**,,,,,,,,,,,,,,,,,
conversationActions,blockedSuccessDesc,對方已被封鎖，你們不會再被匹配到。,对方已被封锁，你们不会再被匹配到。,"The other party has been blocked, and you will not be matched again.",,,,,,,,,,,,,,تم حظر الجهة الأخرى، لن تتلقى تطابقات جديدة.,,,,,,,,,,,,,,,,,
conversationActions,blockedSuccessHint,"💡 想要開始新的對話嗎？
• 使用 /catch 撿起新的漂流瓶","💡 想要开始新的对话吗？
• 使用 /catch 捡起新的漂流瓶","💡 Want to start a new conversation?
• Use /catch to pick up a new Drift Bottle",,,,,,,,,,,,,,"💡 هل تريد بدء محادثة جديدة؟
• استخدم /catch لالتقاط زجاجة الرسائل جديدة",,,,,,,,,,,,,,,,,
conversationActions,bloodType,🩸 血型：{bloodType},🩸 血型：{bloodType},🩸 Blood type: {bloodType},,,,,,,,,,,,,,🩸 فصيلة الدم: {bloodType},,,,,,,,,,,,,,,,,
conversationActions,buttonBlockConfirm,✅ 確定封鎖,✅ 确定封锁,✅ Confirm block,,,,,,,,,,,,,,✅ تأكيد الحظر,,,,,,,,,,,,,,,,,
conversationActions,buttonCancel,❌ 取消,❌ 取消,❌ Cancel,,,,,,,,,,,,,,❌ إلغاء,,,,,,,,,,,,,,,,,
conversationActions,buttonReply,💬 回覆訊息,💬 回覆讯息,💬 Reply message,,,,,,,,,,,,,,💬 رد على الرسالة,,,,,,,,,,,,,,,,,
conversationActions,buttonReportConfirm,✅ 確定舉報,✅ 确定举报,✅ Confirm report,,,,,,,,,,,,,,✅ تأكيد الإبلاغ,,,,,,,,,,,,,,,,,
conversationActions,cancelled,已取消,已取消,Cancelled,,,,,,,,,,,,,,تم الإلغاء,,,,,,,,,,,,,,,,,
conversationActions,conversationEnded,💬 **對話已結束**,💬 **对话已结束**,💬 **Conversation has ended**,,,,,,,,,,,,,,💬 **انتهت المحادثة**,,,,,,,,,,,,,,,,,
conversationActions,conversationEndedDesc,對方結束了這個對話。,对方结束了这个对话。,The other party has ended this conversation.,,,,,,,,,,,,,,انتهت الجهة الأخرى من هذه المحادثة.,,,,,,,,,,,,,,,,,
conversationActions,conversationEndedHint,"💡 想要開始新的對話嗎？
• 使用 /catch 撿起新的漂流瓶","💡 想要开始新的对话吗？
• 使用 /catch 捡起新的漂流瓶","💡 Want to start a new conversation?
• Use /catch to pick up a new Drift Bottle",,,,,,,,,,,,,,"💡 هل تريد بدء محادثة جديدة؟
• استخدم /catch لالتقاط زجاجة الرسائل جديدة",,,,,,,,,,,,,,,,,
conversationActions,conversationInfoError,❌ 對話資訊錯誤,❌ 对话资讯错误,❌ Conversation information is incorrect,,,,,,,,,,,,,,❌ معلومات المحادثة غير صحيحة,,,,,,,,,,,,,,,,,
conversationActions,conversationNotFound,❌ 對話不存在,❌ 对话不存在,❌ Conversation does not exist,,,,,,,,,,,,,,❌ المحادثة غير موجودة,,,,,,,,,,,,,,,,,
conversationActions,editProfile,✏️ 編輯個人資料：/edit_profile,✏️ 编辑个人资料：/edit_profile,✏️ Edit profile: /edit_profile,,,,,,,,,,,,,,✏️ تعديل الملف الشخصي: /edit_profile,,,,,,,,,,,,,,,,,
conversationActions,gender,👤 性別：{gender},👤 性别：{gender},👤 Gender: {gender},,,,,,,,,,,,,,👤 الجنس: {gender},,,,,,,,,,,,,,,,,
conversationActions,genderFemale,女,女,Female,,,,,,,,,,,,,,أنثى,,,,,,,,,,,,,,,,,
conversationActions,genderMale,男,男,Male,,,,,,,,,,,,,,ذكر,,,,,,,,,,,,,,,,,
conversationActions,interests,🎯 興趣：{interests},🎯 兴趣：{interests},🎯 Interests: {interests},,,,,,,,,,,,,,🎯 الاهتمامات: {interests},,,,,,,,,,,,,,,,,
conversationActions,language,🗣️ 語言：{language},🗣️ 语言：{language},🗣️ Language: {language},,,,,,,,,,,,,,🗣️ اللغة: {language},,,,,,,,,,,,,,,,,
conversationActions,mbti,🧠 MBTI：{mbti},🧠 MBTI：{mbti},🧠 MBTI: {mbti},,,,,,,,,,,,,,🧠 MBTI: {mbti},,,,,,,,,,,,,,,,,
conversationActions,nickname,📝 暱稱：{nickname},📝 昵称：{nickname},📝 Nickname: {nickname},,,,,,,,,,,,,,📝 اللقب: {nickname},,,,,,,,,,,,,,,,,
conversationActions,notSet,未設定,未设定,Not set,,,,,,,,,,,,,,غير محدد,,,,,,,,,,,,,,,,,
conversationActions,profileCard,👤 **對方的資料卡**,👤 **对方的资料卡**,👤 **Other's profile card**,,,,,,,,,,,,,,👤 **بطاقة ملف الشخص الآخر**,,,,,,,,,,,,,,,,,
conversationActions,region,📍 地區：{region},📍 地区：{region},📍 Region: {region},,,,,,,,,,,,,,📍 المنطقة: {region},,,,,,,,,,,,,,,,,
conversationActions,replyMethodButton,1️⃣ 點擊下方「💬 回覆訊息」按鈕,1️⃣ 点击下方「💬 回覆讯息」按钮,1️⃣ Click the '💬 Reply Message' button below,,,,,,,,,,,,,,1️⃣ اضغط على زر '💬 رد على الرسالة' أدناه,,,,,,,,,,,,,,,,,
conversationActions,replyMethodLongPress,2️⃣ 長按此訊息，選擇「回覆」後輸入內容,2️⃣ 长按此讯息，选择「回覆」后输入内容,"2️⃣ Long press this message, select 'Reply', then enter your content",,,,,,,,,,,,,,2️⃣ اضغط لفترة طويلة على هذه الرسالة، اختر 'رد' وأدخل المحتوى,,,,,,,,,,,,,,,,,
conversationActions,replyMethods,💡 **兩種回覆方式**：,💡 **两种回覆方式**：,💡 **Two ways to reply**:,,,,,,,,,,,,,,💡 **طريقتان للرد**:,,,,,,,,,,,,,,,,,
conversationActions,reportConfirmDesc,"舉報後：
• 我們會審核此用戶的行為
• 多次被舉報會導致封禁
• 此對話將立即結束
• 24小時內不會再匹配到此用戶","举报后：
• 我们会审核此用户的行为
• 多次被举报会导致封禁
• 此对话将立即结束
• 24小时内不会再匹配到此用户","Upon reporting:
• We will review this user's behavior
• Multiple reports will lead to a ban
• This conversation will end immediately
• You will not be matched with this user for 24 hours",,,,,,,,,,,,,,"بعد الإبلاغ:
• سنراجع سلوك هذا المستخدم
• قد تؤدي التقارير المتعددة إلى الحظر
• ستنتهي هذه المحادثة على الفور
• لن تتواصل مع هذا المستخدم مرة أخرى خلال 24 ساعة",,,,,,,,,,,,,,,,,
conversationActions,reportConfirmNote,💡 請確保對方確實有不當行為。,💡 请确保对方确实有不当行为。,💡 Please ensure the other party has inappropriate behavior.,,,,,,,,,,,,,,💡 يرجى التأكد من أن الطرف الآخر قد شارك بالفعل في سلوك غير ملائم.,,,,,,,,,,,,,,,,,
conversationActions,reportConfirmTitle,🚨 **確定要舉報這位用戶嗎？**,🚨 **确定要举报这位用户吗？ **,🚨 **Are you sure you want to report this user?**,,,,,,,,,,,,,,🚨 **هل أنت متأكد أنك تريد الإبلاغ عن هذا المستخدم؟**,,,,,,,,,,,,,,,,,
conversationActions,reportedSuccess,✅ **已舉報此用戶**,✅ **已举报此用户**,✅ **User Reported**,,,,,,,,,,,,,,✅ **تم الإبلاغ من قبل المستخدم**,,,,,,,,,,,,,,,,,
conversationActions,reportedSuccessDesc,感謝你的舉報，我們會盡快審核。,感谢你的举报，我们会尽快审核。,"Thank you for your report, we will review it as soon as possible.",,,,,,,,,,,,,,شكراً على تقريرك، سنقوم بمراجعته سريعاً.,,,,,,,,,,,,,,,,,
conversationActions,reportedSuccessHint,"💡 想要開始新的對話嗎？
• 使用 /catch 撿起新的漂流瓶","💡 想要开始新的对话吗？
• 使用 /catch 捡起新的漂流瓶","💡 Want to start a new conversation?
• Use /catch to pick up a new Drift Bottle",,,,,,,,,,,,,,"💡 هل تريد بدء محادثة جديدة؟
• استخدم /catch لالتقاط زجاجة الرسائل جديدة",,,,,,,,,,,,,,,,,
conversationActions,returnMenu,🏠 返回主選單：/menu,🏠 返回主选单：/menu,🏠 Return to Main Menu: /menu,,,,,,,,,,,,,,🏠 العودة إلى القائمة الرئيسية: /menu,,,,,,,,,,,,,,,,,
conversationActions,systemError,❌ 系統發生錯誤,❌ 系统发生错误,❌ A system error has occurred,,,,,,,,,,,,,,❌ حدث خطأ في النظام,,,,,,,,,,,,,,,,,
conversationActions,upgradeVipAction,💎 使用 /vip 了解更多,💎 使用 /vip 了解更多,💎 Use /vip to learn more,,,,,,,,,,,,,,💎 استخدم /vip لمعرفة المزيد,,,,,,,,,,,,,,,,,
conversationActions,upgradeVipHint,🔒 升級 VIP 解鎖對方清晰頭像,🔒 升级 VIP 解锁对方清晰头像,🔒 Upgrade VIP to unlock clear profile picture of the other party,,,,,,,,,,,,,,🔒 ترقية إلى VIP لفتح صورة أوضح للطرف الآخر,,,,,,,,,,,,,,,,,
conversationActions,userNotFound,❌ 用戶不存在,❌ 用户不存在,❌ User does not exist,,,,,,,,,,,,,,❌ المستخدم غير موجود,,,,,,,,,,,,,,,,,
conversationActions,vipHint,"💎 **升級 VIP 解鎖清晰頭像**

升級 VIP 即可查看對方的清晰頭像！

使用 /vip 了解更多","💎 **升级 VIP 解锁清晰头像**

升级 VIP 即可查看对方的清晰头像！

使用 /vip 了解更多","💎 **Upgrade VIP to unlock clear profile picture**

Upgrade to VIP to view the clear profile picture of the other party!

Use /vip to learn more",,,,,,,,,,,,,,"💎 **قم بترقية إلى VIP لفتح صورة واضحة**

قم بترقية إلى VIP لمشاهدة صورة الطرف الآخر الواضحة!

استخدم /vip لمعرفة المزيد",,,,,,,,,,,,,,,,,
conversationActions,zodiac,⭐ 星座：{zodiac},⭐ 星座：{zodiac},⭐ Zodiac: {zodiac},,,,,,,,,,,,,,⭐ البرج: {zodiac},,,,,,,,,,,,,,,,,
conversationHistory,bloodType,🩸 血型：{bloodType},🩸 血型：{bloodType},🩸 Blood Type: {bloodType},,,,,,,,,,,,,,🩸 فصيلة الدم: {bloodType},,,,,,,,,,,,,,,,,
conversationHistory,continueReading,"
📜 繼續查看：#{identifier}-H{number}",📜 继续查看：#{identifier}-H{number},📜 Continue viewing: #{identifier}-H{number},,,,,,,,,,,,,,📜 متابعة المشاهدة: #{identifier}-H{number},,,,,,,,,,,,,,,,,
conversationHistory,footerNote,💡 這是對話的歷史記錄,💡 这是对话的历史记录,💡 This is the conversation history,,,,,,,,,,,,,,💡 هذه هي سجل المحادثات,,,,,,,,,,,,,,,,,
conversationHistory,header,💬 與 #{identifier} 的對話記錄（第 {page} 頁）,💬 与 #{identifier} 的对话记录（第 {page} 页）,💬 Conversation history with #{identifier} (Page {page}),,,,,,,,,,,,,,💬 سجل المحادثات مع #{identifier} (الصفحة {page}),,,,,,,,,,,,,,,,,
conversationHistory,lastUpdated,📅 最後更新：{time},📅 最后更新：{time},📅 Last updated: {time},,,,,,,,,,,,,,📅 آخر تحديث: {time},,,,,,,,,,,,,,,,,
conversationHistory,matchScore,💫 配對度：{score}分,💫 配对度：{score}分,💫 Compatibility: {score} points,,,,,,,,,,,,,,💫 التوافق: {score} نقاط,,,,,,,,,,,,,,,,,
conversationHistory,mbti,🧠 MBTI：{mbti},🧠 MBTI：{mbti},🧠 MBTI: {mbti},,,,,,,,,,,,,,🧠 MBTI: {mbti},,,,,,,,,,,,,,,,,
conversationHistory,newMessageHeader,💬 來自 #{identifier} 的新訊息：,💬 来自 #{identifier} 的新讯息：,💬 New message from #{identifier}:,,,,,,,,,,,,,,💬 رسالة جديدة من #{identifier}:,,,,,,,,,,,,,,,,,
conversationHistory,nickname,📝 暱稱：{nickname},📝 昵称：{nickname},📝 Nickname: {nickname},,,,,,,,,,,,,,📝 الاسم المستعار: {nickname},,,,,,,,,,,,,,,,,
conversationHistory,partnerInfoTitle,👤 對方資料：,👤 对方资料：,👤 Other party's information:,,,,,,,,,,,,,,👤 معلومات الطرف الآخر:,,,,,,,,,,,,,,,,,
conversationHistory,replyHint,💬 直接按 /reply 回覆訊息聊天,💬 直接按 /reply 回覆讯息聊天,💬 Reply to messages directly by pressing /reply,,,,,,,,,,,,,,💬 الرد مباشرة عن طريق الضغط على /reply,,,,,,,,,,,,,,,,,
conversationHistory,returnMenuHint,🏠 返回主選單：/menu,🏠 返回主选单：/menu,🏠 Return to main menu: /menu,,,,,,,,,,,,,,🏠 العودة إلى القائمة الرئيسية: /menu,,,,,,,,,,,,,,,,,
conversationHistory,senderPartner,對方,对方,Opponent,,,,,,,,,,,,,,الطرف الآخر,,,,,,,,,,,,,,,,,
conversationHistory,senderYou,你,你,You,,,,,,,,,,,,,,أنت,,,,,,,,,,,,,,,,,
conversationHistory,totalMessages,📊 總訊息數：{count} 則,📊 总讯息数：{count} 则,📊 Total messages: {count},,,,,,,,,,,,,,📊 إجمالي الرسائل: {count},,,,,,,,,,,,,,,,,
conversationHistory,viewHistoryHint,📜 查看歷史記錄：#{identifier},📜 查看历史记录：#{identifier},📜 View history: #{identifier},,,,,,,,,,,,,,📜 عرض التاريخ: #{identifier},,,,,,,,,,,,,,,,,
conversationHistory,vipLearnMore,💎 使用 /vip 了解更多,💎 使用 /vip 了解更多,💎 Use /vip to learn more,,,,,,,,,,,,,,💎 استخدم /vip لمعرفة المزيد,,,,,,,,,,,,,,,,,
conversationHistory,vipUpgradeHint,"
🔒 升級 VIP 解鎖對方清晰頭像",🔒 升级 VIP 解锁对方清晰头像,🔒 Upgrade to VIP to unlock clear avatar of opponent,,,,,,,,,,,,,,🔒 ترقية إلى VIP لفتح صور الملف الشخصي الواضحة للآخرين,,,,,,,,,,,,,,,,,
conversationHistory,zodiac,⭐ 星座：{zodiac},⭐ 星座：{zodiac},⭐ Zodiac: {zodiac},,,,,,,,,,,,,,⭐ برجك: {zodiac},,,,,,,,,,,,,,,,,
countryConfirmation,confirmFailed,❌ 確認失敗,❌ 确认失败,❌ Confirmation failed,,,,,,,,,,,,,,❌ فشل التأكيد,,,,,,,,,,,,,,,,,
countryConfirmation,confirmSuccess,✅ 已確認！,✅ 已确认！,✅ Confirmed!,,,,,,,,,,,,,,✅ أكد!,,,,,,,,,,,,,,,,,
countryConfirmation,errorGeneric,❌ 發生錯誤,❌ 发生错误,❌ An error occurred,,,,,,,,,,,,,,❌ حدث خطأ,,,,,,,,,,,,,,,,,
countryConfirmation,errorUserNotFound,❌ 用戶不存在,❌ 用户不存在,❌ User does not exist,,,,,,,,,,,,,,❌ المستخدم غير موجود,,,,,,,,,,,,,,,,,
countryConfirmation,guessedCountry,"我們根據你的語言設置，推測你來自：
{country}","我们根据你的语言设置，推测你来自：
{country}","We inferred your country based on your language settings:
{country}",,,,,,,,,,,,,,"استنتجنا أنك من: 
{country} بناءً على إعدادات لغتك.",,,,,,,,,,,,,,,,,
countryConfirmation,isCorrect,這正確嗎？,这正确吗？,Is this correct?,,,,,,,,,,,,,,هل هذا صحيح؟,,,,,,,,,,,,,,,,,
countryConfirmation,profileCardHint,💡 這將顯示在你的資料卡上，讓其他用戶更了解你。,💡 这将显示在你的资料卡上，让其他用户更了解你。,💡 This will be displayed on your profile card to help other users get to know you better.,,,,,,,,,,,,,,💡 سيتم عرض هذا في بطاقة ملفك الشخصي لمساعدة المستخدمين الآخرين على فهمك بشكل أفضل.,,,,,,,,,,,,,,,,,
countryConfirmation,rewardHint,🎉 確認後可獲得 +1 瓶子獎勵！,🎉 确认后可获得 +1 瓶子奖励！,🎉 You will receive +1 Drift Bottle reward upon confirmation!,,,,,,,,,,,,,,🎉 التحقق سيكسبك مكافأة زجاجة +1!,,,,,,,,,,,,,,,,,
countryConfirmation,setFailed,❌ 設置失敗,❌ 设置失败,❌ Setting failed,,,,,,,,,,,,,,❌ فشل الإعداد,,,,,,,,,,,,,,,,,
countryConfirmation,setSuccess,✅ 已設置為 {flag} {country},✅ 已设置为 {flag} {country},✅ Set to {flag} {country},,,,,,,,,,,,,,✅ تم تعيينه إلى {flag} {country},,,,,,,,,,,,,,,,,
countryConfirmation,title,🌍 **確認你的國家/地區**,🌍 **确认你的国家/地区**,🌍 **Confirm your country/region**,,,,,,,,,,,,,,🌍 **أكد بلدك/منطقتك**,,,,,,,,,,,,,,,,,
draft,buttonDelete,🗑️ 刪除草稿,🗑️ 删除草稿,🗑️ Delete Draft,,,,,,,,,,,,,,🗑️ حذف المسودة,,,,,,,,,,,,,,,,,
draft,buttonEdit,✏️ 修改內容,✏️ 修改内容,✏️ Edit Content,,,,,,,,,,,,,,✏️ تعديل المحتوى,,,,,,,,,,,,,,,,,
draft,buttonSend,✅ 發送草稿,✅ 发送草稿,✅ Send Draft,,,,,,,,,,,,,,✅ إرسال المسودة,,,,,,,,,,,,,,,,,
draft,content,📝 **草稿內容**,📝 **草稿内容**,📝 **Draft Content**,,,,,,,,,,,,,,📝 **محتوى المسودة**,,,,,,,,,,,,,,,,,
draft,continue,✅ 繼續編輯草稿,✅ 继续编辑草稿,✅ Continue Editing Draft,,,,,,,,,,,,,,✅ متابعة تعديل المسودة,,,,,,,,,,,,,,,,,
draft,deleted,✅ 草稿已刪除,✅ 草稿已删除,✅ Draft Deleted,,,,,,,,,,,,,,✅ تم حذف المسودة,,,,,,,,,,,,,,,,,
draft,editHint,"✏️ 請輸入新的漂流瓶內容：

💡 提示：","✏️ 请输入新的漂流瓶内容：

💡 提示：","✏️ Please enter new Drift Bottle content:

💡 Tip:",,,,,,,,,,,,,,"✏️ الرجاء إدخال محتوى زجاجة الرسائل الجديد:

💡 نصائح:",,,,,,,,,,,,,,,,,
draft,editHintContact,• 不要包含個人聯絡方式,• 不要包含个人联络方式,• Do not include personal contact information,,,,,,,,,,,,,,• لا تتضمن معلومات الاتصال الشخصية,,,,,,,,,,,,,,,,,
draft,editHintLength,• 最短 5 個字符,• 最短 5 个字符,• Minimum 5 characters,,,,,,,,,,,,,,• الحد الأدنى 5 أحرف,,,,,,,,,,,,,,,,,
draft,editHintMax,• 最多 250 個字符,• 最多 250 个字符,• Maximum 250 characters,,,,,,,,,,,,,,• الحد الأقصى 250 حرف,,,,,,,,,,,,,,,,,
draft,editHintMedia,• 不允許連結、圖片、多媒體,• 不允许连结、图片、多媒体,"• Links, images, and multimedia are not allowed",,,,,,,,,,,,,,• الروابط والصور والوسائط المتعددة غير مسموح بها,,,,,,,,,,,,,,,,,
draft,editHintRespect,• 友善、尊重的內容更容易被撿到哦～,• 友善、尊重的内容更容易被捡到哦～,• Friendly and respectful content is more likely to be picked up～,,,,,,,,,,,,,,• المحتوى الودود والمحترم أكثر احتمالًا ليتم اختياره~,,,,,,,,,,,,,,,,,
draft,editPrompt,✏️ 請輸入新的內容,✏️ 请输入新的内容,✏️ Please enter new content,,,,,,,,,,,,,,✏️ الرجاء إدخال محتوى جديد,,,,,,,,,,,,,,,,,
draft,errorGeneric,❌ 發生錯誤,❌ 发生错误,❌ An error occurred,,,,,,,,,,,,,,❌ حدث خطأ,,,,,,,,,,,,,,,,,
draft,newStarted,✅ 開始新的漂流瓶,✅ 开始新的漂流瓶,✅ Start a new Drift Bottle,,,,,,,,,,,,,,✅ بدء زجاجة الرسائل جديدة,,,,,,,,,,,,,,,,,
draft,notFound,⚠️ 草稿不存在或已過期,⚠️ 草稿不存在或已过期,⚠️ Draft does not exist or has expired,,,,,,,,,,,,,,⚠️ المسودة غير موجودة أو انتهت صلاحيتها,,,,,,,,,,,,,,,,,
draft,options,"💡 你可以：
• 直接輸入新內容來替換草稿
• 使用 /throw 重新開始
• 發送草稿內容來丟出漂流瓶","💡 你可以：
• 直接输入新内容来替换草稿
• 使用 /throw 重新开始
• 发送草稿内容来丢出漂流瓶","💡 You can:
• Enter new content directly to replace the draft
• Use /throw to restart
• Send draft content to throw the Drift Bottle",,,,,,,,,,,,,,"💡 يمكنك:
• إدخال محتوى جديد مباشرةً لاستبدال المسودة
• استخدام /throw لإعادة البدء
• إرسال محتوى المسودة لرمي زجاجة الرسائل",,,,,,,,,,,,,,,,,
draft,optionsDelete,🗑️ 刪除草稿,🗑️ 删除草稿,🗑️ Delete Draft,,,,,,,,,,,,,,🗑️ حذف المسودة,,,,,,,,,,,,,,,,,
draft,optionsEdit,✏️ 修改內容,✏️ 修改内容,✏️ Edit Content,,,,,,,,,,,,,,✏️ تعديل المحتوى,,,,,,,,,,,,,,,,,
draft,optionsSend,要直接發送這個草稿嗎？,要直接发送这个草稿吗？,Do you want to send this draft directly?,,,,,,,,,,,,,,هل ترغب في إرسال هذه المسودة مباشرة؟,,,,,,,,,,,,,,,,,
draft,sending,✅ 正在發送...,✅ 正在发送...,✅ Sending...,,,,,,,,,,,,,,✅ جاري الإرسال...,,,,,,,,,,,,,,,,,
editProfile,bioHint,💡 簡介會顯示在你的個人資料中,💡 简介会显示在你的个人资料中,💡 The introduction will be displayed on your profile,,,,,,,,,,,,,,💡 سيتم عرض المقدمة في ملفك الشخصي,,,,,,,,,,,,,,,,,
editProfile,bioPrompt,"✏️ 請輸入個人簡介（最多 200 字）：

💡 輸入 /menu 可隨時返回主選單","✏️ 请输入个人简介（最多 200 字）：

💡 输入 /menu 可随时返回主选单","✏️ Please enter your personal introduction (up to 200 characters):

💡 Enter /menu at any time to return to the main menu",,,,,,,,,,,,,,"✏️ يرجى إدخال مقدمتك الشخصية (حتى 200 كلمة):

💡 أدخل /menu للعودة إلى القائمة الرئيسية في أي وقت",,,,,,,,,,,,,,,,,
